[2023-08-29T02:45:07.667+0000] {logging_mixin.py:151} INFO - Changing /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings permission to 509
[2023-08-29T02:45:07.668+0000] {logging_mixin.py:151} INFO - Failed to change /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings permission to 509: [Errno 1] Operation not permitted: '/opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings'
[2023-08-29T02:45:07.698+0000] {logging_mixin.py:151} INFO - Changing /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings permission to 509
[2023-08-29T02:45:07.699+0000] {logging_mixin.py:151} INFO - Failed to change /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings permission to 509: [Errno 1] Operation not permitted: '/opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings'
[2023-08-29T02:45:07.737+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Autotrader_ETL_DAG.extract_listings manual__2023-08-29T02:45:05.823833+00:00 [queued]>
[2023-08-29T02:45:07.745+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Autotrader_ETL_DAG.extract_listings manual__2023-08-29T02:45:05.823833+00:00 [queued]>
[2023-08-29T02:45:07.745+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 2
[2023-08-29T02:45:07.757+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): extract_listings> on 2023-08-29 02:45:05.823833+00:00
[2023-08-29T02:45:07.762+0000] {standard_task_runner.py:57} INFO - Started process 247 to run task
[2023-08-29T02:45:07.764+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'Autotrader_ETL_DAG', 'extract_listings', 'manual__2023-08-29T02:45:05.823833+00:00', '--job-id', '27', '--raw', '--subdir', 'DAGS_FOLDER/autotrader_etl.py', '--cfg-path', '/tmp/tmp011mvbxh']
[2023-08-29T02:45:07.766+0000] {standard_task_runner.py:85} INFO - Job 27: Subtask extract_listings
[2023-08-29T02:45:07.801+0000] {logging_mixin.py:151} INFO - Changing /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings permission to 509
[2023-08-29T02:45:07.802+0000] {logging_mixin.py:151} INFO - Failed to change /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings permission to 509: [Errno 1] Operation not permitted: '/opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings'
[2023-08-29T02:45:07.804+0000] {task_command.py:415} INFO - Running <TaskInstance: Autotrader_ETL_DAG.extract_listings manual__2023-08-29T02:45:05.823833+00:00 [running]> on host 716b876f3aa6
[2023-08-29T02:45:07.871+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='Autotrader_ETL_DAG' AIRFLOW_CTX_TASK_ID='extract_listings' AIRFLOW_CTX_EXECUTION_DATE='2023-08-29T02:45:05.823833+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-08-29T02:45:05.823833+00:00'
[2023-08-29T02:45:08.966+0000] {logging_mixin.py:151} INFO - page 1 succesfully scraped
[2023-08-29T02:45:09.748+0000] {logging_mixin.py:151} INFO - page 2 succesfully scraped
[2023-08-29T02:45:10.437+0000] {logging_mixin.py:151} INFO - page 3 succesfully scraped
[2023-08-29T02:45:11.613+0000] {logging_mixin.py:151} INFO - page 4 succesfully scraped
[2023-08-29T02:45:12.654+0000] {logging_mixin.py:151} INFO - page 5 succesfully scraped
[2023-08-29T02:45:14.049+0000] {logging_mixin.py:151} INFO - page 6 succesfully scraped
[2023-08-29T02:45:14.680+0000] {logging_mixin.py:151} INFO - page 7 succesfully scraped
[2023-08-29T02:45:15.387+0000] {logging_mixin.py:151} INFO - page 8 succesfully scraped
[2023-08-29T02:45:16.408+0000] {logging_mixin.py:151} INFO - page 9 succesfully scraped
[2023-08-29T02:45:17.202+0000] {logging_mixin.py:151} INFO - page 10 succesfully scraped
[2023-08-29T02:45:18.173+0000] {logging_mixin.py:151} INFO - page 11 succesfully scraped
[2023-08-29T02:45:19.297+0000] {logging_mixin.py:151} INFO - page 12 succesfully scraped
