[2023-08-29T02:56:26.864+0000] {logging_mixin.py:151} INFO - Changing /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings permission to 509
[2023-08-29T02:56:26.865+0000] {logging_mixin.py:151} INFO - Failed to change /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings permission to 509: [Errno 1] Operation not permitted: '/opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings'
[2023-08-29T02:56:26.891+0000] {logging_mixin.py:151} INFO - Changing /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings permission to 509
[2023-08-29T02:56:26.892+0000] {logging_mixin.py:151} INFO - Failed to change /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings permission to 509: [Errno 1] Operation not permitted: '/opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings'
[2023-08-29T02:56:26.921+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Autotrader_ETL_DAG.extract_listings manual__2023-08-29T02:45:05.823833+00:00 [queued]>
[2023-08-29T02:56:26.927+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Autotrader_ETL_DAG.extract_listings manual__2023-08-29T02:45:05.823833+00:00 [queued]>
[2023-08-29T02:56:26.927+0000] {taskinstance.py:1361} INFO - Starting attempt 2 of 2
[2023-08-29T02:56:26.940+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): extract_listings> on 2023-08-29 02:45:05.823833+00:00
[2023-08-29T02:56:26.946+0000] {standard_task_runner.py:57} INFO - Started process 364 to run task
[2023-08-29T02:56:26.948+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'Autotrader_ETL_DAG', 'extract_listings', 'manual__2023-08-29T02:45:05.823833+00:00', '--job-id', '28', '--raw', '--subdir', 'DAGS_FOLDER/autotrader_etl.py', '--cfg-path', '/tmp/tmpndoxdez5']
[2023-08-29T02:56:26.950+0000] {standard_task_runner.py:85} INFO - Job 28: Subtask extract_listings
[2023-08-29T02:56:26.988+0000] {logging_mixin.py:151} INFO - Changing /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings permission to 509
[2023-08-29T02:56:26.989+0000] {logging_mixin.py:151} INFO - Failed to change /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings permission to 509: [Errno 1] Operation not permitted: '/opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T02:45:05.823833+00:00/task_id=extract_listings'
[2023-08-29T02:56:26.991+0000] {task_command.py:415} INFO - Running <TaskInstance: Autotrader_ETL_DAG.extract_listings manual__2023-08-29T02:45:05.823833+00:00 [running]> on host 716b876f3aa6
[2023-08-29T02:56:27.059+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='Autotrader_ETL_DAG' AIRFLOW_CTX_TASK_ID='extract_listings' AIRFLOW_CTX_EXECUTION_DATE='2023-08-29T02:45:05.823833+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-08-29T02:45:05.823833+00:00'
[2023-08-29T02:56:27.682+0000] {logging_mixin.py:151} INFO - page 1 succesfully scraped
[2023-08-29T02:56:28.491+0000] {logging_mixin.py:151} INFO - page 2 succesfully scraped
[2023-08-29T02:56:29.827+0000] {logging_mixin.py:151} INFO - page 3 succesfully scraped
[2023-08-29T02:56:30.416+0000] {logging_mixin.py:151} INFO - page 4 succesfully scraped
[2023-08-29T02:56:31.630+0000] {logging_mixin.py:151} INFO - page 5 succesfully scraped
[2023-08-29T02:56:32.405+0000] {logging_mixin.py:151} INFO - page 6 succesfully scraped
[2023-08-29T02:56:33.300+0000] {logging_mixin.py:151} INFO - page 7 succesfully scraped
[2023-08-29T02:56:33.932+0000] {logging_mixin.py:151} INFO - page 8 succesfully scraped
[2023-08-29T02:56:35.022+0000] {logging_mixin.py:151} INFO - page 9 succesfully scraped
[2023-08-29T02:56:35.725+0000] {logging_mixin.py:151} INFO - page 10 succesfully scraped
[2023-08-29T02:56:36.358+0000] {logging_mixin.py:151} INFO - page 11 succesfully scraped
[2023-08-29T02:56:37.053+0000] {logging_mixin.py:151} INFO - page 12 succesfully scraped
[2023-08-29T02:56:37.923+0000] {logging_mixin.py:151} INFO - page 13 succesfully scraped
[2023-08-29T02:56:38.465+0000] {logging_mixin.py:151} INFO - page 14 succesfully scraped
[2023-08-29T02:56:39.196+0000] {logging_mixin.py:151} INFO - page 15 succesfully scraped
[2023-08-29T02:56:39.868+0000] {logging_mixin.py:151} INFO - page 16 succesfully scraped
[2023-08-29T02:56:40.583+0000] {logging_mixin.py:151} INFO - page 17 succesfully scraped
[2023-08-29T02:56:41.562+0000] {logging_mixin.py:151} INFO - page 18 succesfully scraped
[2023-08-29T02:56:42.398+0000] {logging_mixin.py:151} INFO - page 19 succesfully scraped
