[2023-08-29T03:27:34.571+0000] {logging_mixin.py:151} INFO - Changing /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T03:27:33.248557+00:00/task_id=extract_listings permission to 509
[2023-08-29T03:27:34.572+0000] {logging_mixin.py:151} INFO - Failed to change /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T03:27:33.248557+00:00/task_id=extract_listings permission to 509: [Errno 1] Operation not permitted: '/opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T03:27:33.248557+00:00/task_id=extract_listings'
[2023-08-29T03:27:34.605+0000] {logging_mixin.py:151} INFO - Changing /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T03:27:33.248557+00:00/task_id=extract_listings permission to 509
[2023-08-29T03:27:34.606+0000] {logging_mixin.py:151} INFO - Failed to change /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T03:27:33.248557+00:00/task_id=extract_listings permission to 509: [Errno 1] Operation not permitted: '/opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T03:27:33.248557+00:00/task_id=extract_listings'
[2023-08-29T03:27:34.659+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Autotrader_ETL_DAG.extract_listings manual__2023-08-29T03:27:33.248557+00:00 [queued]>
[2023-08-29T03:27:34.670+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Autotrader_ETL_DAG.extract_listings manual__2023-08-29T03:27:33.248557+00:00 [queued]>
[2023-08-29T03:27:34.671+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 2
[2023-08-29T03:27:34.692+0000] {taskinstance.py:1382} INFO - Executing <Task(PythonOperator): extract_listings> on 2023-08-29 03:27:33.248557+00:00
[2023-08-29T03:27:34.699+0000] {standard_task_runner.py:57} INFO - Started process 671 to run task
[2023-08-29T03:27:34.704+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'Autotrader_ETL_DAG', 'extract_listings', 'manual__2023-08-29T03:27:33.248557+00:00', '--job-id', '29', '--raw', '--subdir', 'DAGS_FOLDER/autotrader_etl.py', '--cfg-path', '/tmp/tmp11qj3s6u']
[2023-08-29T03:27:34.708+0000] {standard_task_runner.py:85} INFO - Job 29: Subtask extract_listings
[2023-08-29T03:27:34.776+0000] {logging_mixin.py:151} INFO - Changing /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T03:27:33.248557+00:00/task_id=extract_listings permission to 509
[2023-08-29T03:27:34.777+0000] {logging_mixin.py:151} INFO - Failed to change /opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T03:27:33.248557+00:00/task_id=extract_listings permission to 509: [Errno 1] Operation not permitted: '/opt/***/logs/dag_id=Autotrader_ETL_DAG/run_id=manual__2023-08-29T03:27:33.248557+00:00/task_id=extract_listings'
[2023-08-29T03:27:34.780+0000] {task_command.py:415} INFO - Running <TaskInstance: Autotrader_ETL_DAG.extract_listings manual__2023-08-29T03:27:33.248557+00:00 [running]> on host 716b876f3aa6
[2023-08-29T03:27:34.891+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='Autotrader_ETL_DAG' AIRFLOW_CTX_TASK_ID='extract_listings' AIRFLOW_CTX_EXECUTION_DATE='2023-08-29T03:27:33.248557+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2023-08-29T03:27:33.248557+00:00'
[2023-08-29T03:27:36.484+0000] {logging_mixin.py:151} INFO - page 1 succesfully scraped
[2023-08-29T03:27:37.423+0000] {logging_mixin.py:151} INFO - page 2 succesfully scraped
[2023-08-29T03:27:38.486+0000] {logging_mixin.py:151} INFO - page 3 succesfully scraped
[2023-08-29T03:27:39.504+0000] {logging_mixin.py:151} INFO - page 4 succesfully scraped
[2023-08-29T03:27:41.265+0000] {logging_mixin.py:151} INFO - page 5 succesfully scraped
[2023-08-29T03:27:42.033+0000] {logging_mixin.py:151} INFO - page 6 succesfully scraped
[2023-08-29T03:27:42.883+0000] {logging_mixin.py:151} INFO - page 7 succesfully scraped
[2023-08-29T03:27:43.762+0000] {logging_mixin.py:151} INFO - page 8 succesfully scraped
[2023-08-29T03:27:44.727+0000] {logging_mixin.py:151} INFO - page 9 succesfully scraped
[2023-08-29T03:27:45.809+0000] {logging_mixin.py:151} INFO - page 10 succesfully scraped
[2023-08-29T03:27:46.441+0000] {logging_mixin.py:151} INFO - page 11 succesfully scraped
[2023-08-29T03:27:47.246+0000] {logging_mixin.py:151} INFO - page 12 succesfully scraped
